00102fa4;FUN_00102fa4;.\src\objTerrainObj.cpp
00119870;FUN_00119870;.\src\gmGmkKeepOut.cpp
001198d0;FUN_001198d0;.\src\gmGmkSliding.cpp
00119948;FUN_00119948;.\src\gmGmkTerrain.cpp
00119a54;FUN_00119a54;.\src\gmGmkWallRun.cpp
00119acc;FUN_00119acc;.\src\gmGmkWaterArea.cpp | GMK WATER PLANE
0011a000;FUN_0011a000;.\src\gmGmkWispBox.cpp
0011a174;FUN_0011a174;.\src\gmGmkWoodBox.cpp
0011afbc;FUN_0011afbc;GAME/PARAM/G_PARAM_RESULT_CAMERA.bprm
0011cb14;FUN_0011cb14;.\library\CTRFramework\amUtility.cpp
0011e64c;FUN_0011e64c;.\src\objTask.cpp
0011ea3c;FUN_0011ea3c;.\src\gmEneBatabata.cpp
0011eaac;FUN_0011eaac;.\src\gmEneEggpawnY.cpp
0011eb18;FUN_0011eb18;.\src\gmEneGanigani.cpp
0011eb88;FUN_0011eb88;.\src\gmEneMogumogu.cpp
0011ebf8;FUN_0011ebf8;.\src\gmEneRenotank.cpp
0011ecb4;FUN_0011ecb4;.\src\gmGmkBurnWall.cpp
0011ee20;FUN_0011ee20;.\src\gmGmkDashRing.cpp
0011ef98;FUN_0011ef98;.\src\gmGmkEggTotem.cpp
0011f18c;FUN_0011f18c;.\src\gmGmkElevator.cpp
0011f218;FUN_0011f218;.\src\gmGmkSign.cpp
0011f278;FUN_0011f278;.\src\gmGmkMushJump.cpp
0011f3f8;FUN_0011f3f8;.\src\gmGmkMushWall.cpp
0011f568;FUN_0011f568;.\src\gmGmkNeonLand.cpp
0011f718;FUN_0011f718;.\src\gmGmkOrcaJump.cpp
0011f8a4;FUN_0011f8a4;.\src\gmGmkTimeHole.cpp
0011f91c;FUN_0011f91c;.\src\gmGmkWaterGun.cpp
0011fa04;FUN_0011fa04;.\src\gmGmkWaterJet.cpp
00120424;FUN_00120424;.\src\gsNetMatch.cpp
00121fc0;FUN_00121fc0;.\src\gmEffect.cpp
0012495c;FUN_0012495c;.\src\gmEneBlueeagle.cpp
001249d0;FUN_001249d0;.\src\gmEneGunhunter.cpp
00124a64;FUN_00124a64;.\src\gmGmkBEDSearch.cpp
00124ac8;FUN_00124ac8;.\src\gmGmkBreakLand.cpp
00124c40;FUN_00124c40;.\src\gmGmkBreakPier.cpp
00124cb8;FUN_00124cb8;.\src\gmGmkClpsTotem.cpp
00124e28;FUN_00124e28;.\src\gmGmkDashPanel.cpp
00124fa4;FUN_00124fa4;.\src\gmGmkFireTotem.cpp
0012513c;FUN_0012513c;.\src\gmGmkJumpStand.cpp
001252b0;FUN_001252b0;.\src\gmGmkPointCage.cpp
00125458;FUN_00125458;.\src\gmGmkPropeller.cpp
001254c0;FUN_001254c0;.\src\gmGmkPushFloor.cpp
001255d4;FUN_001255d4;.\src\gmGmkWaterArea.cpp
00125774;FUN_00125774;.\src\gmGmkWaterFlow.cpp
001258fc;FUN_001258fc;.\src\gmGmkWaterLand.cpp
00125a28;FUN_00125a28;.\src\gmMissionParam.cpp
00125fa4;FUN_00125fa4;.\src\gmPlyEffect.cpp
0012887c;FUN_0012887c;.\library\CTRFramework\amUtility.cpp
0012a578;FUN_0012a578;.\src\dmScriptCredit.cpp
0012a8b0;FUN_0012a8b0;.\src\gmEneMonobeetle.cpp
0012a950;FUN_0012a950;.\src\gmGmkLaserTotem.cpp
0012a9c8;FUN_0012a9c8;.\src\gmGmkMushWeight.cpp
0012ab3c;FUN_0012ab3c;.\src\gmGmkPoleMoveLR.cpp
0012acb0;FUN_0012acb0;.\src\gmGmkPoleMoveUD.cpp
0012ae34;FUN_0012ae34;.\src\gmGmkSpringPole.cpp
0012afac;FUN_0012afac;.\src\gmGmkWaterWheel.cpp
0012b15c;FUN_0012b15c;.\src\gmGmkZ1Special1.cpp
0012b468;FUN_0012b468;.\src\gmGmkZ3Special1.cpp
0012b4d0;FUN_0012b4d0;.\src\gmGmkZ4Special1.cpp
0012b554;FUN_0012b554;.\src\gmGmkAirShip.cpp
0012b5cc;FUN_0012b5cc;.\src\gmGmkBigEggDiver.cpp
0012b634;FUN_0012b634;.\src\gmGmkZ7Special1.cpp
0012b6b4;FUN_0012b6b4;.\src\gmGmkZ7Special2.cpp
0012bcec;FUN_0012bcec;.\src\gmRaceManager.cpp
00130600;FUN_00130600;.\src\gmGmkArrivePoint.cpp
001306a4;FUN_001306a4;.\src\gmGmkBombBalloon.cpp
0013070c;FUN_0013070c;.\src\gmGmkBreakPillar.cpp
00130804;FUN_00130804;.\src\gmGmkPsychoSmash.cpp
001308d0;FUN_001308d0;.\src\gmGmkMissionWall.cpp
00130a40;FUN_00130a40;.\src\gmGmkPointMarker.cpp
00130c14;FUN_00130c14;.\src\gmGmkSpecifyArea.cpp
00130e80;FUN_00130e80;.\src\gmGmkVineStretch.cpp
00130ff0;FUN_00130ff0;.\src\gmGmkVineTwisted.cpp
00131160;FUN_00131160;.\src\gmGmkWaterSlider.cpp
001311c4;FUN_001311c4;.\src\gmGmkWaterStream.cpp
00131a00;FUN_00131a00;.\src\gmResult.cpp
00135d9c;FUN_00135d9c;.\src\gmGmkBEDBlockWall.cpp
00135e00;FUN_00135e00;.\src\gmGmkBEDBreakWall.cpp
00135e64;FUN_00135e64;.\src\gmGmkBeltConveyor.cpp
00136008;FUN_00136008;.\src\gmGmkChargeSpring.cpp
00136190;FUN_00136190;.\src\gmGmkElevatorBody.cpp
00136310;FUN_00136310;.\src\gmGmkNumberSpring.cpp
001364d4;FUN_001364d4;.\src\gmGmkAirShip.cpp
0013673c;FUN_0013673c;GAME/PLAYER/sonic_c.bprm | GAME/PLAYER/sonic_m.bprm
0013bf4c;FUN_0013bf4c;.\src\gmDecoEffect.cpp
0013c140;FUN_0013c140;.\src\gmDecoEffect.cpp
0013c1c4;FUN_0013c1c4;.\src\gmGmkDashRingLayer.cpp
0013c3f8;FUN_0013c3f8;.\src\gmGmkSpikeIronBall.cpp
0013d724;FUN_0013d724;.\library\CTRFramework\amCriFS.cpp
0013f8bc;FUN_0013f8bc;GMK MUSH_JUMP
00141188;FUN_00141188;.\src\gmEneEggpawnWelcome.cpp
0014120c;FUN_0014120c;.\src\gmGmkWallRun.cpp
0014132c;FUN_0014132c;.\src\gmGmkWaterGenerator.cpp
001420cc;FUN_001420cc;.\src\dmScriptAyks.cpp
00145104;FUN_00145104;.\src\gmGmkBurningCatapult.cpp
001455d8;FUN_001455d8;.\src\GmGmkZ7SpecialMeteor.cpp
00146a2c;FUN_00146a2c;E2010080509:failed to allocate nn::snd::Voice handle.
00147de4;FUN_00147de4;.\src\scCollectModelMenu.cpp
0014a3cc;FUN_0014a3cc;.\library\CTRFramework\amCriADX2.cpp
0014a478;FUN_0014a478;.\library\CTRFramework\amDrawUtility.cpp
0014e5d0;FUN_0014e5d0;.\src\gmDecoEffect.cpp
0014e7c4;FUN_0014e7c4;Job.cpp
0014ee48;FUN_0014ee48;.\src\dmScriptAyks.cpp
00150a40;FUN_00150a40;.\src\gsMiiUtility.cpp
00154394;FUN_00154394;.\src\dmScriptAyks.cpp
0015aefc;FUN_0015aefc;CallContext.cpp | GetState()==CallContext::CallInProgress
0015b5dc;FUN_0015b5dc;DOCallContext.cpp
0015b820;FUN_0015b820;.\src\gsMiiUtility.cpp
0015bbc4;FUN_0015bbc4;SystemComponent.cpp
0015c458;FUN_0015c458;.\src\Network\CNetwork.cpp
0016076c;FUN_0016076c;.\src\gmFarBgZ1.cpp
00161810;FUN_00161810;.\src\gmFarBgZ3.cpp
00161fc8;FUN_00161fc8;.\src\gmFarBgZ4.cpp
001625b0;FUN_001625b0;.\src\gmFarBgZ5.cpp
00162a88;FUN_00162a88;.\src\gmFarBgZ6.cpp
0016382c;FUN_0016382c;GMK FISH
001644c0;FUN_001644c0;GMK PRISM
00164ec4;FUN_00164ec4;GMK GULL
00165874;FUN_00165874;GMK JACK
001666b0;FUN_001666b0;GMK LAND
00167ce8;FUN_00167ce8;GMK ROCK
00168208;FUN_00168208;GMK SIGN
00169184;FUN_00169184;GMK SLOT
0016a52c;FUN_0016a52c;.\src\ssEmerald.cpp
0016b280;FUN_0016b280;.\library\CTRFramework\amDraw3DPrim.cpp
0016d988;FUN_0016d988;GMK BOMB BALLOON
0016ef7c;FUN_0016ef7c;.\src\dmObject.cpp
0016f0b0;FUN_0016f0b0;.\src\dmObjScnMgr.cpp
0016f390;FUN_0016f390;.\src\dmObjScnMgr.cpp
0016f7c0;FUN_0016f7c0;.\src\dmObjScnMgr.cpp
0016f844;FUN_0016f844;.\src\dmObjScnMgr.cpp
001732a0;FUN_001732a0;.\src\gmEneHidun.cpp
00176afc;FUN_00176afc;GMK PRISM
0017745c;FUN_0017745c;GMK PIPE S
001785f4;FUN_001785f4;.\src\Boss\FinalBoss\gmFBDebrisMng.cpp
0017e160;FUN_0017e160;.\src\Boss\FinalBoss\gmFBTimeEater.cpp
00182638;FUN_00182638;.\src\gmEneBeeton.cpp
00184308;FUN_00184308;.\src\gmEneMeleon.cpp
001875c4;FUN_001875c4;.\src\gmFarBgZ3_2.cpp
00188f08;FUN_00188f08;GMK BRIDGE
001898c8;FUN_001898c8;.\src\gmGmkBubble.cpp
00189990;FUN_00189990;GMK BUBBLE
0018b760;FUN_0018b760;GMK BUMPER
0018d3d0;FUN_0018d3d0;GMK NEEDLE
0018e87c;FUN_0018e87c;GMK PULLEY
0018fcdc;FUN_0018fcdc;.\src\gmGmkRocket.cpp | GMK ROCKET
0019076c;FUN_0019076c;GMK ROLLER
001927ac;FUN_001927ac;GMK SPRING
001933a0;FUN_001933a0;GMK SWITCH
00194bac;FUN_00194bac;.\src\gsMiiRender.cpp
00194e78;FUN_00194e78;.\src\gsMiiRender.cpp
00194f14;FUN_00194f14;.\src\gsMiiRender.cpp
001988c4;FUN_001988c4;.\src\dmObject.cpp
00198d68;FUN_00198d68;.\src\dmObject.cpp
0019dcec;FUN_0019dcec;.\src\gmEneKureagen.cpp
0019fd94;FUN_0019fd94;GMK AIR SHIP
001a151c;FUN_001a151c;GMK BALLOON
001a26bc;FUN_001a26bc;GMK DROP TARGET
001a572c;FUN_001a572c;GMK FLIPPER
001a6c14;FUN_001a6c14;GMK ITEM_BOX
001a7980;FUN_001a7980;GMK KEEP OUT
001a7e30;FUN_001a7e30;GMK SLIDING
001a857c;FUN_001a857c;GMK TERRAIN
001a9bc0;FUN_001a9bc0;GMK WALL RUN
001aac2c;FUN_001aac2c;GMK WISP BOX
001aba20;FUN_001aba20;GMK WOOD_BOX
001ac25c;FUN_001ac25c;.\src\gsMiiUtility.cpp
001ac75c;FUN_001ac75c;.\src\gsMiiUtility.cpp
001b2268;FUN_001b2268;.\src\scWhiteMapMenu.cpp
001b362c;FUN_001b362c;.\src\Network\Global\CGlobalNetwork.cpp
001b6408;FUN_001b6408;.\src\gmDeco.cpp
001ba280;FUN_001ba280;.\src\gmEneGanigani.cpp
001bbc80;FUN_001bbc80;.\src\gmEneMogumogu.cpp
001bffec;FUN_001bffec;GMK BURN WALL
001c0dc8;FUN_001c0dc8;GMK DASH RING
001c14c0;FUN_001c14c0;GMK EGG TOTEM
001c2080;FUN_001c2080;GMK ELEVATOR
001c32dc;FUN_001c32dc;GMK GOALRING
001c3964;FUN_001c3964;GMK MUSH_JUMP
001c4a10;FUN_001c4a10;GMK MUSH_WALL
001c564c;FUN_001c564c;GMK NEON LAND
001c71c4;FUN_001c71c4;GMK ORCA MOVE
001c7ec4;FUN_001c7ec4;GMK TIME HOLE
001c9734;FUN_001c9734;GMK WATER GUN
001ca2c8;FUN_001ca2c8;.\src\gmGmkWaterGun.cpp
001caed8;FUN_001caed8;GMK WATER JET
001cbec8;FUN_001cbec8;.\src\gmRaceManager.cpp
001cd6c4;FUN_001cd6c4;.\src\gmRaceManager.cpp
001d1598;FUN_001d1598;.\src\Boss\FinalBoss\gmFBTimeEaterArm.cpp
001d1744;FUN_001d1744;.\src\Boss\FinalBoss\gmFBTimeEaterArm.cpp
001d2a8c;FUN_001d2a8c;.\src\gmEneBlueeagle.cpp
001d2f34;FUN_001d2f34;.\src\gmEneBlueeagle.cpp
001d47e0;FUN_001d47e0;.\src\gmEneGunhunter.cpp
001d6e94;FUN_001d6e94;GMK BED SEARCH
001d7cb4;FUN_001d7cb4;GMK BREAK LAND
001d855c;FUN_001d855c;GMK BREAK PIER
001d9020;FUN_001d9020;GMK CLPS TOTEM
001da08c;FUN_001da08c;GMK Z-CTRL
001da7c4;FUN_001da7c4;GMK DASH PANEL
001db198;FUN_001db198;GMK Z-CTRL
001db8c4;FUN_001db8c4;GMK FIRE TOTEM
001dc1b8;FUN_001dc1b8;GMK GOALPANEL
001dca74;FUN_001dca74;GMK JUMP STAND
001de194;FUN_001de194;GMK POINT CAGE
001df534;FUN_001df534;GMK PROPELLER
001e0c5c;FUN_001e0c5c;GMK PUSH FLOOR
001e1a68;FUN_001e1a68;GMK WATER_AREA
001e1f60;FUN_001e1f60;GMK WATER FLOW
001e2c30;FUN_001e2c30;GMK WATER LAND
001e5b54;FUN_001e5b54;.\src\scCecLoglistMenu.cpp
001ebf4c;FUN_001ebf4c;GMK LASER TOTEM
001ed62c;FUN_001ed62c;GMK POLE_MoveLR
001ee214;FUN_001ee214;GMK POLE_MoveUD
001eec8c;FUN_001eec8c;GMK ROCKET BASE
001ef06c;FUN_001ef06c;GMK SOUP BUBBLE
001ef9e0;FUN_001ef9e0;GMK SPRING POLE
001f2294;FUN_001f2294;GMK Z1-2 Special1
001f4904;FUN_001f4904;GMK Z2 SPECIAL
001f6c48;FUN_001f6c48;GMK Z3-2 Special1
001f9568;FUN_001f9568;.\src\gmGmkZ4Special1.cpp | GMK Z4-2 Special1
001fa834;FUN_001fa834;GMK SP ZONE7 NO1 | VUUU.\src\gmGmkZ7Special1.cpp
00202124;FUN_00202124;.\src\dmObject.cpp
002025d4;FUN_002025d4;.\src\dmObject.cpp
00204424;FUN_00204424;.\src\gmGmkBigEggDiver.cpp | GMK BIG EGG DIVER
00204dac;FUN_00204dac;GMK BREAK PILLAR
002054cc;FUN_002054cc;GMK MISSION WALL
00206004;FUN_00206004;GMK POINT MARKER
00208734;FUN_00208734;GMK LAYER SPRING
002092f0;FUN_002092f0;GMK VINE_STRETCH
00209efc;FUN_00209efc;GMK VINE_TWISTED
0020afc8;FUN_0020afc8;GMK WATER SLIDER
0020b94c;FUN_0020b94c;GMK WATER STREAM
0020be24;FUN_0020be24;GMK PLY CTL MANAGER
00215618;FUN_00215618;GMK BED BLOCK WALL
00215d64;FUN_00215d64;GMK BED BREAK WALL
00216304;FUN_00216304;GMK BELT CNVR
00217044;FUN_00217044;GMK C SPRING
00217644;FUN_00217644;GMK ELEVATOR BODY
00217d90;FUN_00217d90;GMK ELEVATOR MOVE
00219538;FUN_00219538;GMK NUMBER SPRING
0021a084;FUN_0021a084;GMK ROCKET HANDLE
0021a394;FUN_0021a394;GMK TERRAIN ZONE2
0021ae04;FUN_0021ae04;GMK Z7SP1_ROCKET
0021d4f8;FUN_0021d4f8;.\src\lytPauseManual.cpp
00222124;FUN_00222124;GMK DASH RING
00222788;FUN_00222788;.\src\gmGmkOrcaJump.cpp | GMK ORCA JUMP | GMK ORCA JUMP STAND
002239d8;FUN_002239d8;GMK SPK IRON BALL
00225838;FUN_00225838;.\src\gmDeco.cpp
00226b5c;FUN_00226b5c;.\src\gmDeco.cpp
00227f44;FUN_00227f44;.\src\gmEneEggpawnWelcome.cpp
00229ea0;FUN_00229ea0;GMK WATER GENERATOR
0022b70c;FUN_0022b70c;.\src\lytCollectLower.cpp
002331e8;FUN_002331e8;GMK BURN CATA
00234034;FUN_00234034;GMK METEOR
00239e90;FUN_00239e90;GMK PF ONE STEP
0023a730;FUN_0023a730;.\src\lytEndCredit.cpp
0023bea4;FUN_0023bea4;.\src\gmGmkSpecifyAreaManager.cpp | GMK SPECIFY AREA MANAGER
002458d8;FUN_002458d8;.\src\Boss\EggEmperor\gmEggEmperor.cpp
00250468;FUN_00250468;.\src\Boss\BioLizard\gmBossBioLizard.cpp
002529a4;FUN_002529a4;.\src\Boss\BioLizard\gmBioStageManager.cpp
002546b4;FUN_002546b4;.\src\gmBoss01Stage.cpp
00255320;FUN_00255320;.\src\Boss\BioLizard\gmBioLizardEggManager.cpp
002696d4;FUN_002696d4;dsp::DSP
0026e490;FUN_0026e490;SystemError.cpp
0026e7f8;FUN_0026e7f8;DuplicatedObject.cpp | SessionDDL.cpp
0026f62c;FUN_0026f62c;DuplicatedObject.cpp
0026fb60;FUN_0026fb60;CallRegister::CancelCallToStation
0026fc24;FUN_0026fc24;CallRegister::CheckExpiredCalls
00270354;FUN_00270354;FetchContext.cpp
00270c6c;FUN_00270c6c;JobTerminate::StepWaitOnPendingJobs
00271eb8;FUN_00271eb8;SessionClock.cpp
00274554;FUN_00274554;E2007032001:TocInfo::rtv is null. | E2007032002:Specified num is more than the number of files(TocInfo::files).
00280fa8;FUN_00280fa8;.\library\CTRFramework\amMalloc.cpp
002813e8;FUN_002813e8;.\library\CTRFramework\amCmdList.cpp
0028345c;FUN_0028345c;.\library\CTRFramework\amDraw3DPrim.cpp
0028477c;FUN_0028477c;.\library\CTRFramework\amDebugPrint.cpp
00294c08;FUN_00294c08;E2008072101:CHeap::Not enough memory for Create. | W2008072100:CHeap::Pointer is NULL.
0029544c;FUN_0029544c;E2008072110:CHeapAlloc::CriCheap object is NULL.
00295518;FUN_00295518;E2007070502:CPK Analyzer::The work size is too poor. To inquire about the minimum size, use CriFsBinder_GetWorkSizeBindCpk function. | E2007070503:CPK Analyzer::Cannot possibly analyze the CPK File. To inquire about the minimum size, use CriFsBinder_GetWorkSizeBindCpk function. | E2009010903:CPK Analyzer::Cannot possibly analyze the CPK File. The heap user registrated is too small. | E2009022001:CPK Analyzer::CRC Error in TOC | E2009022002:CPK Analyzer::CRC Error in GTOC | E2011022805:CPK Analyzer::Cannot possibly analyze the CPK File. Not a CPK format. | E2011022806:CPK Analyzer::Cannot possibly analyze the CPK File. This CPK is broken.
00295d14;FUN_00295d14;E2008072120:CHeap::Cannot found the appropriate memory block. | E2008072121:Cheap::Must be last memory block. | E2009010911:CHeapFree::CriCheap object is NULL.
00299d30;FUN_00299d30;.\src\ssGimmick.cpp
0029ab24;FUN_0029ab24;.\src\Boss\FinalBoss\gmFBPlyModel.cpp
0029baa4;FUN_0029baa4;.\library\CTRFramework\amCamera.cpp
0029d3f0;FUN_0029d3f0;.\src\Boss\FinalBoss\gmFBCamera.cpp
0029d55c;FUN_0029d55c;.\src\ssMain.cpp
0029d744;FUN_0029d744;.\library\CTRFramework\amDraw3DPrim.cpp
0029e89c;FUN_0029e89c;.\library\CTRFramework\amAnimWrapper.cpp
0029e948;FUN_0029e948;.\src\tdsRes.cpp
002ac57c;FUN_002ac57c;JobBackEndServicesLogin::CompleteLogout
002adfec;FUN_002adfec;DuplicatedObject.cpp
002b172c;FUN_002b172c;DuplicatedObject.cpp
002b1888;FUN_002b1888;DuplicatedObject.cpp
002b1e04;FUN_002b1e04;DuplicatedObject.cpp
002b41ac;FUN_002b41ac;DuplicatedObject.cpp
002b4848;FUN_002b4848;Result.cpp
002b7a78;FUN_002b7a78;Result.cpp
002b8054;FUN_002b8054;ObjectThreadRoot.cpp
002b80f8;FUN_002b80f8;ObjectThreadRoot.cpp
002bcc84;FUN_002bcc84;Selection.cpp
002bea88;FUN_002bea88;Selection.cpp
002beff0;FUN_002beff0;DOCallContext.cpp
002c01c4;FUN_002c01c4;RMCContext.cpp
002c3454;FUN_002c3454;DOCallContext.cpp
002c3e0c;FUN_002c3e0c;DuplicatedObject.cpp
002c4248;FUN_002c4248;MethodIDGenerator.cpp
002c62c8;FUN_002c62c8;DOCallContext.cpp
002c6c44;FUN_002c6c44;Buffer.cpp
002d06f8;FUN_002d06f8;.\src\Boss\gmPlayerControllerBase.cpp
002d6490;FUN_002d6490;.\src\lytCtr.cpp
002d7c90;FUN_002d7c90;.\src\gmCamera.cpp
002daa14;FUN_002daa14;.\src\gsMiiUtility.cpp
002dc340;FUN_002dc340;.\src\gmGmkElevator.cpp
002dcc04;FUN_002dcc04;.\src\gmEneKiki.cpp
002ded18;FUN_002ded18;Session.cpp
002df168;FUN_002df168;CallContext.cpp
002df764;FUN_002df764;CallContext.cpp | GetState()==CallContext::CallInProgress
002dff44;FUN_002dff44;.\src\scWhiteMapResource.cpp
002e5f00;FUN_002e5f00;GMK BIG BUBBLE
002ea430;FUN_002ea430;.\src\Boss\FinalBoss\gmFBDebrisMng.cpp
002eb538;FUN_002eb538;.\src\Boss\FinalBoss\gmFBEffect.cpp
002ecd50;FUN_002ecd50;.\src\dmObjScnMgr.cpp
002ef67c;FUN_002ef67c;GMK FLAP PATH_COL
002efbe4;FUN_002efbe4;.\src\gmFarBg.cpp
002f0390;FUN_002f0390;.\src\gmFarBg.cpp
002f0f4c;FUN_002f0f4c;.\src\objObject.cpp
002f10e4;FUN_002f10e4;.\src\gmFarBg.cpp
002f1e9c;FUN_002f1e9c;.\src\gmEneKiki.cpp
002f4a88;FUN_002f4a88;.\src\gmPly.cpp | GAME/PLAYER/sonic_c.bprm | GAME/PLAYER/sonic_m.bprm
002f5860;FUN_002f5860;Result.cpp
002f5894;FUN_002f5894;Result.cpp
002f67cc;FUN_002f67cc;DuplicatedObject.cpp
002f7fdc;FUN_002f7fdc;Scheduler.cpp
002f8440;FUN_002f8440;.\src\lytCtr.cpp
002f8604;FUN_002f8604;.\src\lytCtr.cpp
002fd100;FUN_002fd100;.\library\CTRFramework\amDebugScreen.cpp
002fdb7c;FUN_002fdb7c;.\library\CTRFramework\amPartialMalloc.cpp
002fdf64;FUN_002fdf64;.\src\objCollision.cpp
002ff6a8;FUN_002ff6a8;.\library\CTRFramework\amAnimWrapper.cpp
002ffd54;FUN_002ffd54;.\library\CTRFramework\amAnimWrapper.cpp
00302adc;FUN_00302adc;.\src\objRes.cpp
00303574;FUN_00303574;.\src\dmObjScnMgr.cpp
00303860;FUN_00303860;.\src\gmDeco.cpp
00303ba0;FUN_00303ba0;.\src\mnCommonLayout.cpp
00308880;FUN_00308880;.\library\CTRFramework\amMatAnimWrapper.cpp
0030d4d8;FUN_0030d4d8;.\library\CTRFramework\amLayout.cpp
0030d554;FUN_0030d554;.\library\CTRFramework\amLayout.cpp
00311330;FUN_00311330;.\src\gmGmkLensFlare.cpp | GMK LENS FLARE
0031189c;FUN_0031189c;.\src\gmDeco.cpp
003129cc;FUN_003129cc;.\library\CTRFramework\amParticleWrapper.cpp
003136a0;FUN_003136a0;.\src\mnCommonLayout.cpp
00315778;FUN_00315778;.\library\CTRFramework\amUtility.cpp
00316994;FUN_00316994;.\library\CTRFramework\amMatAnimWrapper.cpp
00316e04;FUN_00316e04;.\library\CTRFramework\amAnimWrapper.cpp
0031d680;FUN_0031d680;.\library\CTRFramework\amDraw3DPrim.cpp
00320254;FUN_00320254;.\library\CTRFramework\amCriFS.cpp
00321384;FUN_00321384;.\src\lytCtr.cpp
00322bf4;FUN_00322bf4;.\src\dmScriptVM.cpp
00327140;FUN_00327140;.\library\CTRFramework\amUtility.cpp
00327a24;FUN_00327a24;.\library\CTRFramework\amCmdCache.cpp
00329150;FUN_00329150;.\src\gmPlyEffect.cpp
00329fc8;FUN_00329fc8;.\src\objObject.cpp
0032a238;FUN_0032a238;.\src\objObject.cpp
0032ab3c;FUN_0032ab3c;.\src\gmSceneEnvironment.cpp
0032b540;FUN_0032b540;.\src\gsMiiUtility.cpp
0032b600;FUN_0032b600;.\src\gsMiiUtility.cpp
